zpid,streetAddress,zipcode,price,bathrooms,bedrooms,livingArea,homeType,lotAreaValue
47811192,433 SW Fairway Lake Point,34986,355000.0,2.0,2.0,1363.0,SINGLE_FAMILY,6083.0
47811273,1225 NW Sun Terrace Cir APT B,34986,278000.0,2.0,2.0,1152.0,SINGLE_FAMILY,0.0
47813109,806 SW Saint Andrews Cv,34986,362000.0,2.0,3.0,1679.0,SINGLE_FAMILY,5875.0
47820305,801 SE Forgal St,34983,440000.0,2.0,5.0,3000.0,SINGLE_FAMILY,0.0
47823347,1133 SW Sudder Ave,34953,205000.0,2.0,3.0,960.0,SINGLE_FAMILY,10000.0
47850126,1549 SE Minorca Ave,34952,305000.0,2.0,2.0,932.0,SINGLE_FAMILY,10000.0
81387998,1971 SW Breezeway St,34987,415000.0,2.0,3.0,1820.0,SINGLE_FAMILY,10044.0
81395581,1924 SE High Springs Dr,34952,274900.0,3.0,2.0,1350.0,TOWNHOUSE,0.0
103562966,573 SW Dailey Ave,34953,220000.0,,,,LOT,0.25
47836923,618 SW Ray Ave,34983,309000.0,2.0,2.0,925.0,SINGLE_FAMILY,10000.0
47847101,1942 SE Wheeling Ln,34952,310000.0,2.0,3.0,998.0,SINGLE_FAMILY,0.26802112029384756
47853163,3343 Columbrina Cir,34952,250000.0,2.0,3.0,1648.0,MANUFACTURED,5779.0
65802004,3672 SW Conibear St,34953,475000.0,2.0,3.0,2004.0,SINGLE_FAMILY,10000.0
103517448,166 SW Ladybug Dr,34953,388165.0,2.0,4.0,1828.0,SINGLE_FAMILY,10000.0
103523730,4617 SW Keats St,34953,489900.0,2.0,4.0,2114.0,SINGLE_FAMILY,10000.0
326171421,10909 SW Robbia Way,34987,368500.0,2.0,3.0,1517.0,SINGLE_FAMILY,5097.0
337760979,12259 Rimini Way,34987,360140.0,2.0,2.0,1614.0,SINGLE_FAMILY,5009.0
2057143727,9891 Perfect Dr #A/B,34986,314000.0,3.0,2.0,1196.0,CONDO,0.0
2058273142,54 Mediterranean Blvd E,34952,105000.0,2.0,3.0,1560.0,MANUFACTURED,0.0
47824885,738 SW Bond Rd,34953,305000.0,2.0,2.0,1410.0,SINGLE_FAMILY,10000.0
47826505,822 SW Harvard Rd,34953,299900.0,2.0,3.0,1028.0,SINGLE_FAMILY,10019.0
47833939,681 SE Prineville St,34983,380000.0,2.0,3.0,1732.0,SINGLE_FAMILY,10000.0
47843565,2586 SE Rock Springs Dr,34952,380000.0,2.0,3.0,1613.0,SINGLE_FAMILY,10454.0
47845710,6444 NW Foxglove St,34986,549900.0,3.0,3.0,2460.0,SINGLE_FAMILY,0.5083792470156107
47851304,1454 SE Sunshine Ave,34952,440000.0,2.0,3.0,1710.0,SINGLE_FAMILY,0.3099
66207502,2115 SW Devon Ave,34953,405000.0,3.0,3.0,2084.0,SINGLE_FAMILY,10625.0
66222241,2566 SE Pineland Dr,34952,335000.0,3.0,3.0,1481.0,SINGLE_FAMILY,0.0
103531737,633 NW Prima Vista Blvd,34983,389165.0,2.0,4.0,1828.0,SINGLE_FAMILY,10000.0
103558345,1581 SW Apricot Rd,34953,418000.0,2.0,4.0,1806.0,SINGLE_FAMILY,10000.0
103584311,2521 SE Lyman Cir,34952,398165.0,2.0,4.0,1828.0,SINGLE_FAMILY,10019.0
188510664,5930 NW Pine Trail Cir,34983,450000.0,3.0,4.0,2509.0,SINGLE_FAMILY,4792.0
,,,,,,,,
2058882416,300 SW Kestor Dr,34953,402165.0,2.0,4.0,1828.0,SINGLE_FAMILY,0.2699954086317723
2059999812,2317 SE Tavares Dr #4703,34952,365007.0,3.0,3.0,1666.0,SINGLE_FAMILY,2614.0
2065449070,2911 Fiddlewood Cir,34952,210000.0,2.0,2.0,830.0,MANUFACTURED,5683.0
47821602,462 SW Exmore Ave,34983,279000.0,2.0,2.0,925.0,SINGLE_FAMILY,10000.0
47822620,537 SE Brookside Ter,34983,385000.0,2.0,3.0,1743.0,SINGLE_FAMILY,10000.0
47824402,856 SW Duncan Ter,34953,265000.0,2.0,2.0,925.0,SINGLE_FAMILY,10000.0
47838996,1819 SW Nantucket Ave,34953,395000.0,2.0,3.0,1587.0,SINGLE_FAMILY,10454.0
47841343,104 SW Sebring Cir,34953,450000.0,2.0,4.0,1852.0,SINGLE_FAMILY,0.5662999999999999
47843486,2531 SE Berkshire Blvd,34952,292000.0,2.0,3.0,1183.0,SINGLE_FAMILY,10000.0
47852839,8201 Cinnamon Ln,34952,210000.0,2.0,2.0,1344.0,CONDO,7197.0
47853207,8487 Labelia Ct,34952,240000.0,2.0,2.0,1136.0,MANUFACTURED,5261.0
54774458,689 SW Treasure Cv,34986,380000.0,2.0,2.0,1439.0,SINGLE_FAMILY,7599.0
66204706,421 NE Oleander Ave,34952,335000.0,2.0,3.0,1396.0,SINGLE_FAMILY,9210.0
66215039,6820 Dickinson Ter,34952,517500.0,2.0,3.0,2220.0,SINGLE_FAMILY,0.0
70409167,585 NW Floresta Dr,34983,410000.0,2.0,4.0,1915.0,SINGLE_FAMILY,0.0
70412910,594 SW Indian Key Dr,34986,330000.0,2.0,2.0,1552.0,SINGLE_FAMILY,5052.96
81391870,641 NW Marion Ave,34983,389500.0,2.0,4.0,1650.0,SINGLE_FAMILY,10000.0
81401791,1206 SW Chase Rd,34953,455000.0,3.0,4.0,2496.0,SINGLE_FAMILY,10000.0
81409493,833 SW Janette Ave,34953,545000.0,3.0,4.0,2479.0,SINGLE_FAMILY,10000.0
103525138,218 SE Fiore Bello,34952,225000.0,,,,LOT,0.33500918273645547
103529322,242 SW Kestor Dr,34953,490000.0,3.0,4.0,2263.0,SINGLE_FAMILY,0.28999081726354453
103548461,3902 SW Laffite St,34953,465000.0,3.0,4.0,2127.0,SINGLE_FAMILY,10625.0
103553795,12713 NW Milestone Pl,34987,350000.0,2.0,3.0,1649.0,SINGLE_FAMILY,6534.0
103568097,539 SW Bradshaw Cir,34953,535000.0,3.0,4.0,2173.0,SINGLE_FAMILY,0.26000918273645546
103581091,9668 SW Chestwood Ave,34987,470000.0,2.0,2.0,1596.0,SINGLE_FAMILY,6229.0
103588838,1881 SW Lewis St,34987,465000.0,3.0,4.0,2148.0,SINGLE_FAMILY,10019.0
337760051,13466 SW Gingerline Dr,34987,705000.0,4.0,3.0,2808.0,SINGLE_FAMILY,10284.0
2057211585,1823 SW Darwin St #145,34953,449995.0,3.0,4.0,2127.0,SINGLE_FAMILY,9481.0
2059617531,187 SE Village Dr #187,34952,177500.0,2.0,2.0,948.0,CONDO,0.0
47819233,117 SE Lakehurst Dr,34983,375000.0,2.0,2.0,1132.0,SINGLE_FAMILY,10000.0
47840218,384 SW Kestor Dr,34953,255000.0,2.0,3.0,1582.0,SINGLE_FAMILY,0.2699954086317723
47845662,6547 NW Chugwater Cir,34983,415000.0,2.0,3.0,1766.0,SINGLE_FAMILY,0.2699954086317723
47853456,3313 Ironwood Ave,34952,299900.0,2.0,2.0,1374.0,MANUFACTURED,5281.0
47853789,8242 Maidencane Pl,34952,370000.0,2.0,3.0,1838.0,SINGLE_FAMILY,4849.0
54858861,8150 Meadowlark Ln,34952,223500.0,2.0,3.0,1981.0,MANUFACTURED,6400.0
66205354,1114 SW Coleman Ave,34953,359000.0,2.0,3.0,1510.0,SINGLE_FAMILY,10000.0
66206627,3526 SW Princeton St,34953,430000.0,2.0,4.0,2040.0,SINGLE_FAMILY,10000.0
66211092,352 SW Panther Trce,34953,570000.0,2.0,4.0,2074.0,SINGLE_FAMILY,10819.0
81387226,477 NW Dover Ct,34983,599900.0,4.0,5.0,3926.0,SINGLE_FAMILY,9017.0
82622708,222 SW Ewing Ave,34983,390000.0,3.0,4.0,2066.0,SINGLE_FAMILY,10000.0
103536570,293 SW Becker Rd,34953,385165.0,2.0,4.0,1828.0,SINGLE_FAMILY,10000.0
308929440,13364 SW Gingerline Dr,34987,385000.0,2.0,2.0,1579.0,SINGLE_FAMILY,0.0
326171893,11358 SW Hawkins Ter,34987,465950.0,2.0,2.0,1599.0,SINGLE_FAMILY,6621.0
,,,,,,,,
2057726406,178 W Caribbean,34952,69000.0,2.0,2.0,1501.0,MANUFACTURED,6534.0
2077605948,7 S Granada Ln,34952,52000.0,2.0,2.0,1000.0,MANUFACTURED,0.0
47826338,1058 SW Provincetown Ln,34953,405000.0,2.0,3.0,1652.0,SINGLE_FAMILY,10000.0
